question,answer
How can I reset my password?,Go to settings and click reset password.
How can I track my order?,Use the tracking option in your account.
What payment methods are accepted?,We accept cards UPI and net banking.
What is the refund policy?,Refunds are processed within 5 to 7 days.
How do I contact support?,Email us at support@example.com.
Where is my order?,Track your order in the orders section.
Can I cancel my order?,Yes you can cancel before shipping.
what ai,"Artificial Intelligence is the simulation of human intelligence in machines."
what ml,"Machine Learning allows systems to learn from data automatically."
what nlp,"Natural Language Processing helps machines understand human language."
what python,"Python is a programming language used in AI, web development and data science."
what flask,"Flask is a lightweight Python web framework."
what api,"API allows communication between software systems."
what data,"Data is raw information used for analysis."
what code,"Code is a set of instructions written for computers."
what app,"An application is software designed to perform tasks."
what chatbot,"A chatbot is an AI system that simulates human conversation."
